;Cuivre;DVarS;Chelateur
VAESTLR12016_v1_20034|ID:85467194|;0;-1,24981252179848;0
VAESTLR12016_v1_12691|ID:85466908|cpdB|;0;-1,24958894105148;0
VAESTLR12016_v1_12744|ID:85466961|astA|;0;-1,24405892837919;0
VAESTLR12016_v1_10898|ID:85465115|umpA|;0;-1,24362673287999;0
VAESTLR12016_v1_11053|ID:85465270|dctP|;0;-1,23232153961497;0
VAESTLR12016_v1_12038|ID:85466255|;0;-1,232120226591;0
VAESTLR12016_v1_12028|ID:85466245|;0;-1,61118631387018;0
VAESTLR12016_v1_20197|ID:85467357|phhB|;0;-1,61030252715452;0
VAESTLR12016_v1_11420|ID:85465637|;0;-1,60552336926963;0
VAESTLR12016_v1_20564|ID:85467724|;0;-1,59645341218196;0
VAESTLR12016_v1_20512|ID:85467672|;0;-1,56983994101572;0
VAESTLR12016_v1_20159|ID:85467319|;0;-1,56964118186292;0
VAESTLR12016_v1_11112|ID:85465329|ycgB|;0;-1,56432233883753;0
VAESTLR12016_v1_11313|ID:85465530|;0;-1,55972004032354;0
VAESTLR12016_v1_20370|ID:85467530|;0;-1,6648697469846;0
VAESTLR12016_v1_10197|ID:85464414|glnA|;0;-1,66281305512313;0
VAESTLR12016_v1_10605|ID:85464822|;0;-1,66042828144406;0
VAESTLR12016_v1_12477|ID:85466694|gltB|;0;-1,65555494545458;0
VAESTLR12016_v1_10956|ID:85465173|;0;-1,63908272777345;0
VAESTLR12016_v1_10722|ID:85464939|aceA|;0;-1,75506489835273;0
VAESTLR12016_v1_10344|ID:85464561|;0;-1,74948144818269;0
VAESTLR12016_v1_11610|ID:85465827|torY|;0;-1,77715385907138;0
VAESTLR12016_v1_10759|ID:85464976|katG|;0;-1,7034202879752;0
VAESTLR12016_v1_20199|ID:85467359|acsA|;0;-1,69879230171052;0
VAESTLR12016_v1_20306|ID:85467466|;0;-1,72108440918314;0
VAESTLR12016_v1_10606|ID:85464823|;0;-1,91398096718323;0
VAESTLR12016_v1_20019|ID:85467179|;0;-1,91297317418924;0
VAESTLR12016_v1_12478|ID:85466695|gltD|;0;-1,8776961836987;0
VAESTLR12016_v1_20101|ID:85467261|;0;-1,84888405343293;0
VAESTLR12016_v1_11447|ID:85465664|aapJ|;0;-1,8203177547669;0
VAESTLR12016_v1_20672|ID:85467832|;0;-2,07323264186399;0
VAESTLR12016_v1_20035|ID:85467195|;0;-2,0686025720164;0
VAESTLR12016_v1_11532|ID:85465749|;0;-2,08457126582095;0
VAESTLR12016_v1_11990|ID:85466207|;0;-2,02918419794368;0
VAESTLR12016_v1_11312|ID:85465529|;0;-2,02507355839715;0
VAESTLR12016_v1_12623|ID:85466840|;0;-2,00503231773639;0
VAESTLR12016_v1_11126|ID:85465343|hisQ|;0;-1,99113495902455;0
VAESTLR12016_v1_30082|ID:85468510|dppC|;0;-1,97820759577714;0
VAESTLR12016_v1_11125|ID:85465342|argT|;0;-1,95791410134834;0
VAESTLR12016_v1_10755|ID:85464972|;0;-1,94793018584873;0
VAESTLR12016_v1_12844|ID:85467061|acs|;0;-1,41852061725143;0,968851103043185
VAESTLR12016_v1_10356|ID:85464573|;0;-1,30976815619313;0,885119241529197
VAESTLR12016_v1_12842|ID:85467059|;0;-1,25844260244876;1,2373704050983
VAESTLR12016_v1_12843|ID:85467060|;0;-1,66881053233636;1,28248285110629
VAESTLR12016_v1_11088|ID:85465305|;0;-0,901413274094867;0
VAESTLR12016_v1_10153|ID:85464370|;0;-0,901125131728082;0
VAESTLR12016_v1_21209|ID:85468369|yciH|;0;-0,900922639788441;0
VAESTLR12016_v1_10236|ID:85464453|gmk|;0;-0,900771825046228;0
VAESTLR12016_v1_12840|ID:85467057|;0;-0,903351647588943;0
VAESTLR12016_v1_11286|ID:85465503|torD|;0;-0,897891152400645;0
VAESTLR12016_v1_20985|ID:85468145|;0;-0,895170238258488;0
VAESTLR12016_v1_21185|ID:85468345|;0;-0,892216173639586;0
VAESTLR12016_v1_10529|ID:85464746|oadG|;0;-0,892060600139482;0
VAESTLR12016_v1_20030|ID:85467190|;0;-0,915175024098285;0
VAESTLR12016_v1_20036|ID:85467196|;0;-0,913709472285978;0
VAESTLR12016_v1_12835|ID:85467052|agmR|;0;-0,912399343811699;0
VAESTLR12016_v1_20026|ID:85467186|yejF|;0;-0,911664094592293;0
VAESTLR12016_v1_11921|ID:85466138|;0;-0,920050491498233;0
VAESTLR12016_v1_20482|ID:85467642|;0;-0,919814359550627;0
VAESTLR12016_v1_21210|ID:85468370|;0;-0,868109955050665;0
VAESTLR12016_v1_12564|ID:85466781|;0;-0,866934422118361;0
VAESTLR12016_v1_10801|ID:85465018|yeiG|;0;-0,871267690169631;0
VAESTLR12016_v1_20560|ID:85467720|;0;-0,863587896412521;0
VAESTLR12016_v1_10313|ID:85464530|pgi|;0;-0,852665280273201;0
VAESTLR12016_v1_10259|ID:85464476|coaA|;0;-0,852456999879657;0
VAESTLR12016_v1_11331|ID:85465548|;0;-0,855063544852498;0
VAESTLR12016_v1_11952|ID:85466169|oppD|;0;-0,858008071153569;0
VAESTLR12016_v1_11386|ID:85465603|;0;-0,881152461433623;0
VAESTLR12016_v1_12795|ID:85467012|;0;-0,879969355974472;0
VAESTLR12016_v1_20138|ID:85467298|;0;-0,882501023255666;0
VAESTLR12016_v1_21136|ID:85468296|;0;-0,874645769081251;0
VAESTLR12016_v1_11387|ID:85465604|nrdB|;0;-0,873720543900499;0
VAESTLR12016_v1_10277|ID:85464494|;0;-0,876651825934063;0
VAESTLR12016_v1_11956|ID:85466173|oppA|;0;-1,00255566417099;0
VAESTLR12016_v1_10901|ID:85465118|;0;-1,00226150228469;0
VAESTLR12016_v1_11340|ID:85465557|;0;-1,00153198396303;0
VAESTLR12016_v1_12124|ID:85466341|mlaA|;0;-1,00041475263263;0
VAESTLR12016_v1_10514|ID:85464731|rpoS|;0;-0,994214091805763;0
VAESTLR12016_v1_12406|ID:85466623|;0;-0,993416290627511;0
VAESTLR12016_v1_30028|ID:85468456|;0;-0,997809502733471;0
VAESTLR12016_v1_12450|ID:85466667|deoD|;0;-0,981695170362013;0
VAESTLR12016_v1_21181|ID:85468341|;0;-0,981276511242453;0
VAESTLR12016_v1_11124|ID:85465341|hisP|;0;-0,982682119483598;0
VAESTLR12016_v1_12405|ID:85466622|;0;-0,979369105053687;0
VAESTLR12016_v1_11991|ID:85466208|;0;-0,978764118650864;0
VAESTLR12016_v1_10983|ID:85465200|;0;-0,991315258596398;0
VAESTLR12016_v1_10921|ID:85465138|;0;-0,988509309287683;0
VAESTLR12016_v1_12796|ID:85467013|;0;-0,966609023811017;0
VAESTLR12016_v1_11285|ID:85465502|purR|;0;-0,965786948639553;0
VAESTLR12016_v1_12753|ID:85466970|dam|;0;-0,964396908569127;0
VAESTLR12016_v1_11616|ID:85465833|;0;-0,964340713414255;0
VAESTLR12016_v1_12661|ID:85466878|ptsN|;0;-0,972617006669175;0
VAESTLR12016_v1_11329|ID:85465546|;0;-0,960270990583127;0
VAESTLR12016_v1_12365|ID:85466582|;0;-0,958149315172915;0
VAESTLR12016_v1_10670|ID:85464887|btsR|;0;-0,9409663243785;0
VAESTLR12016_v1_20595|ID:85467755|nhaD|;0;-0,938778315944734;0
VAESTLR12016_v1_11578|ID:85465795|;0;-0,934990573269267;0
VAESTLR12016_v1_12437|ID:85466654|;0;-1,0142929350327;0
VAESTLR12016_v1_20027|ID:85467187|yejE|;0;-1,0130358280106;0
VAESTLR12016_v1_10883|ID:85465100|ptsI|;0;-1,01808920782477;0
VAESTLR12016_v1_11945|ID:85466162|;0;-1,0087180303752;0
VAESTLR12016_v1_11944|ID:85466161|;0;-1,00751481956023;0
VAESTLR12016_v1_11775|ID:85465992|;0;-1,01074705738571;0
VAESTLR12016_v1_10574|ID:85464791|dksA|;0;-1,03768723288153;0
VAESTLR12016_v1_11913|ID:85466130|yciA|;0;-1,03532743217708;0
VAESTLR12016_v1_11613|ID:85465830|;0;-1,0264145492619;0
VAESTLR12016_v1_11851|ID:85466068|;0;-1,02241253249811;0
VAESTLR12016_v1_20372|ID:85467532|;0;-1,05227237582095;0
VAESTLR12016_v1_11788|ID:85466005|;0;-1,05094150590422;0
VAESTLR12016_v1_20375|ID:85467535|;0;-1,05387087791047;0
VAESTLR12016_v1_12738|ID:85466955|prkB|;0;-1,04586775396759;0
VAESTLR12016_v1_12432|ID:85466649|;0;-1,06180323744446;0
VAESTLR12016_v1_10396|ID:85464613|;0;-1,05755197673198;0
VAESTLR12016_v1_11837|ID:85466054|;0;-1,11577968564166;0
VAESTLR12016_v1_11045|ID:85465262|;0;-1,1144751149526;0
VAESTLR12016_v1_30063|ID:85468491|;0;-1,11853966229608;0
VAESTLR12016_v1_12414|ID:85466631|ebgA|;0;-1,11101244633473;0
VAESTLR12016_v1_10397|ID:85464614|;0;-1,10905011147089;0
VAESTLR12016_v1_21159|ID:85468319|;0;-1,10671105587271;0
VAESTLR12016_v1_10599|ID:85464816|;0;-1,09365041089749;0
VAESTLR12016_v1_12075|ID:85466292|ptsG|;0;-1,09132120474154;0
VAESTLR12016_v1_20046|ID:85467206|napC|;0;-1,08727045020928;0
VAESTLR12016_v1_20124|ID:85467284|;0;-1,07243877332213;0
VAESTLR12016_v1_11537|ID:85465754|;0;-1,07092620867289;0
VAESTLR12016_v1_10152|ID:85464369|;0;-1,07818225613874;0
VAESTLR12016_v1_12410|ID:85466627|galT|;0;-0,748438269572652;0
VAESTLR12016_v1_20089|ID:85467249|;0;-0,747945297668138;0
VAESTLR12016_v1_11330|ID:85465547|;0;-0,749656387351194;0
VAESTLR12016_v1_20561|ID:85467721|;0;-0,745097814726633;0
VAESTLR12016_v1_12172|ID:85466389|pgm|;0;-0,744435460946569;0
VAESTLR12016_v1_11258|ID:85465475|hisA|;0;-0,743032061644927;0
VAESTLR12016_v1_11019|ID:85465236|yeaC|;0;-0,755795953115695;0
VAESTLR12016_v1_20327|ID:85467487|lpp|;0;-0,755563562092452;0
